x_1,t_1,x_2,t_2,label
clavoxsea 457,klævəkssiː fɔːɹhʌndɹɪd fɪfti sɛvən,clavoxsea 375,klævəkssiː θɹiːhʌndɹɪd sɛvənti faɪv,1
bactrigon,bæktɹɪgən,bacticon,bæktɪkən,1
veeta,viːɾə,devetam 1000,dɪvɛɾæm wʌn θaʊzənd,1
guaifenesin dextromethorpan hydrobromide,gwɑːaɪfnɛsɪn dɛkstɹoʊmθɔːɹpæn haɪdɹəbɹoʊmaɪd,guaiflem,gwɑːɪfləm,1
indiurex,ɪndɪjuːɹɛks,diura,dɪjuːɹə,1
rh com,ɑːɹɹeɪtʃ kɑːm,b com,biː kɑːm,1
praxolin 150,pɹæksəlɪn wʌnhʌndɹɪd fɪfti,maxolin,mæksəlɪn,1
acode 200,ækoʊd tuːhʌndɹɪd,acode 50,ækoʊd fɪfti,1
theoroxime 750,θiəɹəksaɪm sɛvənhʌndɹɪd fɪfti,theoroxime 15,θiəɹəksaɪm fɪftiːn,1
rovix,ɹɑːvɪks,provixime,pɹɑːvɪksaɪm,1
magnilek,mægnaɪlək,bilex,baɪlɛks,1
durazol,dʊɹɹɐzɑːl,dermazole,dɜːmɐzoʊl,1
panadene,pænɐdiːn,panagon,pænægən,1
ifos,aɪfoʊz,unifos,juːnɪfoʊz,1
tobracor,tɑːbɹækɚ,ibracor,ɪbɹækɚ,1
amgathran 150,æmgæθɹən wʌnhʌndɹɪd fɪfti,amgathran 110,æmgæθɹən wʌnhʌndɹɪd tɛn,1
rifelac,ɹaɪflæk,rexulac,ɹɪksjʊlæk,1
kercip 400,kɜːsɪp fɔːɹhʌndɹɪd,erlocip 100,ɜːləsɪp wʌnhʌndɹɪd,1
boost,buːst,boostrix,buːstɹɪks,1
celtere,kɛltɚ,caltenor,kɔltɛnɚ,1
saphceetrate,sæfsiːtɹeɪt,saphtrate,sæftɹeɪt,1
clariwin dt,klæɹɪwɪn diːtiː,claritin,klæɹɪtɪn,1
ikshatob,ɪkʃɐtɑːb,ikshamox,ɪkʃɐmɑːks,1
metrex,miːɾɚks,metorex,mɛɾəɹɛks,1
panadene,pænɐdiːn,anodyne,ænədaɪn,1
oticom,ɑːɾɪkɑːm,bicom 300,bɪkɑːm θɹiːhʌndɹɪd,1
clindacare,klɪndɐkɛɹ,clindasave,klɪndɐseɪv,1
madovin,mædəvɪn,metovin,mɛɾəvɪn,1
omepors,oʊmpɚz,mupors,mjuːpɚz,1
iopamedix,aɪəpeɪmdɪks,iopamiro,aɪəpɐmiəɹoʊ,1
riscare odt,ɹɪskɛɹ ɑːt,risfar,ɹɪsfɑːɹ,1
kaptroban,kæptɹɑːbən,retaproban,ɹɪtæpɹɑːbən,1
pure cee,pjʊɹ siː,pure ceee,pjʊɹ siː,1
vuznerv,vʌznɜːv,levenerv,lɛvənɜːv,1
rivanex 20,ɹɪveɪnɛks twɛnti,rivanex 15,ɹɪveɪnɛks fɪftiːn,1
coughsaph 1,kɔfsæf wʌn,4cough,fɔːɹ kɔf,1
maricoxia 90,mæɹɪkɑːksiə naɪnti,maricoxia 120,mæɹɪkɑːksiə wʌnhʌndɹɪd twɛnti,1
cartine,kɑːɹtiːn,isopto carpine,aɪsɑːptoʊ kɑːɹpaɪn,1
lamtac 25,læmtæk twɛnti faɪv,lamtac 50,læmtæk fɪfti,1
femostal 20,fɛmoʊstəl twɛnti,oxestal 20,ɑːksɛstəl twɛnti,1
actyl 100,æktaɪl wʌnhʌndɹɪd,levecortix 100,lɛvɪkɔːɹɾɪks wʌnhʌndɹɪd,1
oticom,ɑːɾɪkɑːm,bicom 1000,bɪkɑːm wʌn θaʊzənd,1
nutrimin forte,njuːtɹɪmɪn fɔːɹɾeɪ,natricin forte,nætɹɪsɪn fɔːɹɾeɪ,1
exerta,ɛgzɜːɾə,exsert,ɛkssɜːt,1
muldezar,mʌldɪzɑːɹ,mulax,mjʊlæks,1
esonex iv,ɛsoʊnɛks ɹoʊmən fɔːɹ,esoz,ɛsɑːz,1
gasmodic,gæzmɑːdɪk,anmotic,ænmɑːɾɪk,1
tazomed 25,tæzəmd twɛnti faɪv,omed,oʊmd,1
dypita 225,daɪpiːɾə tuːhʌndɹɪd twɛnti faɪv,epitam,ɛpɪtæm,1
axonedu,æksoʊnduː,haixone,heɪksoʊn,1
glucophage,gluːkɑːfɪdʒ,glucophage forte,gluːkɑːfɪdʒ fɔːɹɾeɪ,1
ventcare,vɛntkɛɹ,venocare,vɛnəkɛɹ,1
clavtri 625,klævtɹi sɪkshʌndɹɪd twɛnti faɪv,clavmentin 625,klævməntɪn sɪkshʌndɹɪd twɛnti faɪv,1
eye glo moist,aɪ gloʊ mɔɪst,eye mo cool red eyes,aɪ moʊ kuːl ɹɛd aɪz,1
drapolene,dɹæpoʊliːn,malene,meɪliːn,1
irbekon,ɜːbɛkən,irbetan,ɜːbɛtən,1
capd dpca 3,kæpd diːpiːsiːeɪ θɹiː,capd dpca 4,kæpd diːpiːsiːeɪ fɔːɹ,1
folicard,fɑːlɪkɑːɹd,folicaid,fɑːlɪkeɪd,1
insuljack r,ɪnsʌldʒæk ɑːɹ,linsul,lɪnsəl,1
piptazorixx,pɪptɐzɔːɹɪks,fazorixx,fæzɔːɹɪks,1
pantazil,pæntɐzɪl,pancarzil,pæŋkɑːɹzɪl,1
essentiale forte p,ɛsɛnʃəl fɔːɹɾeɪ piː,allecur p,ɐlɛkɜː piː,1
